Id,Reputation,CreationDate,DisplayName,LastAccessDate,WebsiteUrl,Location,Age,AboutMe,Views,UpVotes,DownVotes
-1,1,2011-11-30 17:13:53.160,Community,2011-11-30 17:13:53.160,http://meta.stackexchange.com/,on the server farm,NULL,"<p>Hi, I'm not really a person.</p>  <p>I'm a background process that helps keep this site clean!</p>  <p>I do things like</p>  <ul> <li>Randomly poke old unanswered questions every hour so they get some attention</li> <li>Own community questions and answers so nobody gets unnecessary reputation from them</li> <li>Own downvotes on spam/evil posts that get permanently deleted</li> <li>Own suggested edits from anonymous users</li> <li><a href=""http://meta.stackexchange.com/a/92006"">Remove abandoned questions</a></li> </ul>",0,1542,1233
1,101,2011-11-30 18:09:56.207,Geoff Dalgas,2013-01-21 23:55:30.730,http://stackoverflow.com,"Corvallis, OR",37,"<p>Developer on the StackOverflow team.  Find me on</p>  <p><a href=""http://www.twitter.com/SuperDalgas"" rel=""nofollow"">Twitter</a> <br><br> <a href=""http://blog.stackoverflow.com/2009/05/welcome-stack-overflow-valued-associate-00003/"">Stack Overflow Valued Associate #00003</a></p>",119,2,0
2,101,2011-11-30 18:10:38.663,Nick Craver,2014-02-09 16:30:38.960,http://nickcraver.com/blog/,"Winston-Salem, NC",29,"<p><a href=""http://blog.stackoverflow.com/2011/01/welcome-valued-associate-nick-craver/"">Stack Overflow Valued Associate</a></p>  <p>Twitter: <a href=""http://twitter.com/Nick_Craver"" rel=""nofollow"">@Nick_Craver</a><br> Public CV: <a href=""http://careers.stackoverflow.com/ncraver"">On StackOverflow Careers</a><br> Flickr: <a href=""http://www.flickr.com/photos/nickcraver/"" rel=""nofollow"">Photos on new house progress, where I work, etc.</a></p>  <p>I mostly live in the C#/Linq2SQL/Raw SQL world, but at night I secretly masquerade as someone who pretends to know <a href=""http://stackoverflow.com/questions/tagged/javascript"">JavaScript</a> &amp; <a href=""http://stackoverflow.com/questions/tagged/jquery"">jQuery</a>.<br> <sub>Disclaimer: I have <em>no idea</em> what I'm talking about, all my answers are guesses!</sub></p>",6,0,0
3,101,2011-11-30 18:10:48.167,balpha,2014-06-03 06:21:54.397,http://balpha.de/,"Berlin, Germany",34,"<p>My name is Benjamin Dumke-von der Ehe. I am <a href=""http://blog.stackoverflow.com/2010/06/welcome-stack-overflow-valued-associates-00006-and-00007"">Stack Overflow Valued Associate #00007</a>, which is just a confusing way of saying that I work as a developer for Stack Exchange.</p>  <p>I am <a href=""http://twitter.com/balpha"" rel=""nofollow"">@balpha</a> on Twitter. My <a href=""http://balpha.de/about/"" rel=""nofollow"">blog's ""about"" page</a> explains the origin of my user name.</p>  <p>I am the creator of <a href=""http://unicornify.appspot.com/"" rel=""nofollow""><em>Unicornify</em></a>, the service that gives you these lovable creatures:</p>  <p><img src=""http://unicornify.appspot.com/avatar/1?s=48"" alt=""""> <img src=""http://unicornify.appspot.com/avatar/13?s=48"" alt=""""> <img src=""http://unicornify.appspot.com/avatar/3?s=48"" alt=""""> <img src=""http://unicornify.appspot.com/avatar/14?s=48"" alt=""""> <img src=""http://unicornify.appspot.com/avatar/5?s=48"" alt=""""></p>  <p>I also created <a href=""https://bitbucket.org/balpha/lyfe"" rel=""nofollow""><em>Lyfe</em></a>, a small library adding <code>yield</code>-based generators to JavaScript, and <a href=""http://notarealquestion.appspot.com/"" rel=""nofollow""><em>Not a Real Question</em></a>, a little game that's played with data from various Stack Exchange sites.</p>  <p>I sometimes have a <a href=""http://meta.stackexchange.com/questions/43418"">strange</a> <a href=""http://stackoverflow.com/questions/2057400"">sense of</a> <a href=""http://meta.stackexchange.com/questions/122781"">humor</a>, but I also like to <a href=""http://meta.stackexchange.com/a/74115"">explain</a> <a href=""http://stackoverflow.com/a/2055144"">things</a> <a href=""http://meta.stackexchange.com/a/75045"">I fix</a>, <a href=""http://meta.stackexchange.com/a/128705"">break</a>, <a href=""http://balpha.de/2012/07/an-unexcited-look-at-browser-sniffing"" rel=""nofollow"">care about</a>, or <a href=""http://stackoverflow.com/a/11833858"">come up with</a>.</p>",6,0,0
4,236,2011-11-30 18:44:51.017,Katey HW,2012-09-28 14:57:42.303,http://www.twitter.com/KateyCHAOS,"New York, United States",NULL,"<p>I am from Massachusetts but I have lived in Manhattan for five years. I work at Stack HQ as one of the members of Team CHAOS! I am also a stand-up and improv comedian, which is fun and often weird.</p>  <p>I love Douglas Adams, Terry Pratchett, Neil Gaiman! I love Bon Iver, The Mountain Goats and David Gray! I am maybe addicted to cheese sandwiches! I love good TV! This has been a list!</p>  <p>Thanks for swinging by, shoot me an email if you have any thoughts or questions you would like to share!<p><a href=""http://twitter.com/KateyCHAOS"" rel=""nofollow"">@KateyCHAOS</a></p></p>",28,5,5
5,101,2011-11-30 18:44:54.620,Rebecca Chernoff,2012-11-16 15:59:28.987,http://rebecca.chernoff.com,"St Louis, MO",30,"<p>I'm <a href=""http://twitter.com/rchern"" rel=""nofollow"">@rchern</a> on Twitter.</p>  <p>You can email me at rebecca.chernoff on gmail.</p>",9,0,0
6,353,2011-11-30 18:45:04.277,SamtheBrand,2014-08-28 19:56:08.757,http://twitter.com/samthebrand/,"New York, United States",NULL,"<p>I work here and I learn here. </p>  <p>Get in touch with ideas about how we can improve the network and spread the word: </p>  <p><a href=""http://is.gd/yuKMs0"" rel=""nofollow"">samuel@stackexchange.com</a></p>",25,46,3
7,331,2011-11-30 18:45:23.937,Seanland,2014-02-25 02:07:27.450,http://none,"Ontario, Canada",29,"<p>Currently studying Computer Programming and Analysis at Seneca College in Toronto, ON, Canada.  Past Graduate of Sports and Leisure Management at Holland College in Charlottetown, PE, Canada and former student of Business Administration at Durham College.  I consider myself a professional student..   </p>",15,27,1
8,1512,2011-11-30 18:45:37.410,abby hairboat,2014-08-14 19:10:28.247,http://twitter.com/hairboat,"New York, NY",26,"<p>I work for our Stack Exchange overlords on the Community Growth team. If you'd like to tell me what you had for lunch, you can email me at abby@stackexchange.com. </p>  <p>(I'm the artist formerly known around these parts as Abby T. Miller.)</p>  <p><a href=""http://stackexchange.com/users/dcdecb98f43a4398abc35095d7882464""> <img src=""http://stackexchange.com/users/flair/dcdecb98f43a4398abc35095d7882464.png"" width=""208"" height=""58"" alt=""profile for Abby T. Miller on Stack Exchange, a network of free, community-driven Q&amp;A sites"" title=""profile for Abby T. Miller on Stack Exchange, a network of free, community-driven Q&amp;A sites""> </a></p>",85,149,9
9,101,2011-11-30 18:46:02.947,rndstr,2012-01-20 21:47:43.833,NULL,"Zurich, Switzerland",NULL,NULL,1,0,0
